City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,bridlington,54.0831,-0.1919,287.11,85,100,17.43,GB,1667877525
167,anito,12.4497,125.2886,301.8,81,100,2.83,PH,1667877525
168,pisco,-13.7,-76.2167,290.18,82,0,3.6,PE,1667877525
169,mwense,-10.3845,28.698,292.0,95,100,1.03,ZM,1667877526
170,vila,42.0304,-8.1588,283.64,89,92,4.1,PT,1667877526
171,pareora,-44.4871,171.2132,291.58,64,31,5.26,NZ,1667877526
172,uttaradit,17.6667,100.5,299.82,58,1,1.32,TH,1667877527
173,mogadishu,2.0371,45.3438,298.55,81,17,3.35,SO,1667877407
174,rosario,-32.9468,-60.6393,294.79,54,0,4.12,AR,1667877527
175,palora,-1.7,-77.9333,293.07,88,95,1.3,EC,1667877375
176,casimiro castillo,19.6,-104.4333,295.41,92,0,1.11,MX,1667877528
177,victoria point,-27.5833,153.3,297.97,71,100,4.02,AU,1667877528
178,dawei,14.0833,98.2,303.49,51,44,1.93,MM,1667877529
179,moussoro,13.6408,16.4901,298.68,21,15,4.84,TD,1667877529
180,skawina,49.9752,19.8287,282.1,80,100,1.07,PL,1667877529
181,costinesti,43.95,28.6333,281.17,82,21,1.34,RO,1667877530
182,baruun-urt,46.6806,113.2792,276.88,28,44,7.31,MN,1667877530
183,luanda,-8.8368,13.2343,298.15,88,75,3.6,AO,1667877390
184,arraial do cabo,-22.9661,-42.0278,292.94,81,100,2.47,BR,1667877530
185,dingle,10.9995,122.6711,302.99,75,97,3.9,PH,1667877531
186,sitka,57.0531,-135.33,272.09,37,0,2.57,US,1667877531
187,tezu,27.9167,96.1667,297.11,43,1,1.53,IN,1667877531
188,chuy,-33.6971,-53.4616,287.44,86,11,3.52,UY,1667877532
189,port hardy,50.6996,-127.4199,274.25,51,20,11.32,CA,1667877330
190,slubice,52.3509,14.5607,282.24,79,65,2.24,PL,1667877532
191,eirunepe,-6.6603,-69.8736,296.52,63,9,0.79,BR,1667877533
192,katsuura,35.1333,140.3,291.86,61,0,4.39,JP,1667877433
193,mabaruma,8.2,-59.7833,296.01,99,100,0.73,GY,1667877533
194,berlevag,70.8578,29.0864,273.15,86,20,4.12,NO,1667877533
195,georgetown,5.4112,100.3354,303.12,75,20,1.54,MY,1667877337
196,olinda,-8.0089,-34.8553,300.0,69,40,2.57,BR,1667877534
197,panara,22.0667,78.55,294.01,48,50,1.28,IN,1667877534
198,upernavik,72.7868,-56.1549,258.54,88,80,2.93,GL,1667877490
199,eureka,40.8021,-124.1637,280.49,91,100,2.68,US,1667877331
200,yulara,-25.2406,130.9889,306.06,22,75,8.75,AU,1667877535
201,hamilton,39.1834,-84.5333,285.8,39,75,4.12,US,1667877388
202,jutai,-5.1833,-68.9,297.01,63,21,0.63,BR,1667877536
203,chokurdakh,70.6333,147.9167,249.32,97,62,5.06,RU,1667877536
204,sao filipe,14.8961,-24.4956,298.41,67,100,2.27,CV,1667877537
205,portland,45.5234,-122.6762,278.96,93,100,1.79,US,1667877357
206,avera,33.194,-82.5271,292.88,74,3,2.57,US,1667877537
207,kidal,18.4411,1.4078,294.91,16,87,4.93,ML,1667877292
208,calderitas,18.55,-88.25,298.18,82,7,2.87,MX,1667877538
209,juba,4.8517,31.5825,295.65,74,100,0.38,SS,1667877538
210,beringovskiy,63.05,179.3167,270.65,95,100,6.48,RU,1667877538
211,emba,48.8264,58.1442,268.47,94,25,2.16,KZ,1667877539
212,verkhnyachka,48.8285,30.0396,276.55,69,59,2.77,UA,1667877539
213,ostrovnoy,68.0531,39.5131,270.42,97,65,2.29,RU,1667877539
214,inyonga,-6.7167,32.0667,292.95,79,100,1.82,TZ,1667877540
215,bilma,18.6853,12.9164,293.23,25,0,4.38,NE,1667877540
216,lasa,46.6166,10.7002,275.02,54,52,0.7,IT,1667877540
217,nouadhibou,20.931,-17.0347,293.14,73,7,4.63,MR,1667877541
218,dakar,14.6937,-17.4441,298.22,88,0,0.0,SN,1667877541
219,hwange,-18.3693,26.5019,295.68,72,100,0.92,ZW,1667877541
220,baniyas,35.1819,35.9487,288.31,75,100,2.07,SY,1667877542
221,elbrus,43.2577,42.6443,270.91,20,94,0.53,RU,1667877542
222,sakaiminato,35.55,133.2333,292.14,52,40,4.63,JP,1667877543
223,port lincoln,-34.7333,135.8667,299.9,43,100,6.08,AU,1667877434
224,miandrivazo,-19.5167,45.4667,297.9,75,96,0.62,MG,1667877543
225,pangnirtung,66.1451,-65.7125,258.51,61,64,2.72,CA,1667877543
226,ponta do sol,32.6667,-17.1,293.55,84,66,1.52,PT,1667877544
227,aylesbury,51.8167,-0.8146,287.2,89,100,1.34,GB,1667877544
228,santa rosa,14.3122,121.1114,303.2,75,97,4.69,PH,1667877545
229,slovenj gradec,46.5103,15.0806,282.18,94,7,1.48,SI,1667877545
230,kandrian,-6.2167,149.55,303.03,70,95,3.63,PG,1667877545
231,vila velha,-20.3297,-40.2925,295.34,86,100,1.54,BR,1667877546
232,lere,10.387,8.5726,291.52,35,39,1.39,NG,1667877546
233,port macquarie,-31.4333,152.9167,292.53,58,59,4.83,AU,1667877546
